investor_id,date,wealth_change,market_gap,utility_score
INV_01,2020-01-01,0.0,0.0,0.0
INV_01,2020-01-02,0.0,0.0,0.0
INV_01,2020-01-03,0.0,-0.0201,0.0071958
INV_01,2020-01-06,0.0,-1.1852,0.4243016
INV_01,2020-01-07,0.0,-1.2371,0.4428818
INV_01,2020-01-08,-2878.15,-2.3549,0.19721538185519027
INV_01,2020-01-09,1279.19,1.6078,-0.421666783864612
INV_01,2020-01-10,0.0,0.0,0.0
INV_01,2020-01-13,-3358.86,-0.1494,-0.6898172425579225
INV_01,2020-01-14,995.61,0.3604,-0.006487900237122771
INV_01,2020-01-15,0.0,0.0,0.0
INV_01,2020-01-16,-363.63,-0.7669,0.17625523755153666
INV_01,2020-01-17,-3724.06,-0.2003,-0.7447924286087403
INV_01,2020-01-20,89.87,-0.2384,0.09908095877272147
INV_01,2020-01-21,2554.11,1.2343,-0.15308548802974958
INV_01,2020-01-22,4087.78,0.4028,0.2988485153794521
INV_01,2020-01-23,634.91,0.9051,-0.24265509620758804
INV_01,2020-01-24,0.0,0.2124,-0.0760392
INV_01,2020-01-27,-2472.96,-1.124,-0.16015457147471185
INV_01,2020-01-28,0.0,-0.9038,0.3235604
INV_01,2020-01-29,545.61,0.3875,-0.06783860138342802
INV_01,2020-01-30,-2560.96,0.3808,-0.7170606929608092
INV_01,2020-01-31,-720.27,0.1216,-0.2266173410259743
INV_01,2020-02-03,-2008.68,0.348,-0.5901483486538265
INV_01,2020-02-04,0.0,0.0,0.0
INV_01,2020-02-05,-1700.24,0.2384,-0.48537966402790766
INV_01,2020-02-06,-4379.2,0.3957,-1.0878981503771339
INV_01,2020-02-07,855.72,-0.2358,0.19117966113982346
INV_01,2020-02-10,-885.38,-0.3076,-0.11079102446510894
INV_01,2020-02-11,321.82,-0.8195,0.33722678578883175
INV_01,2020-02-12,-1437.67,-0.46,-0.17872041061035343
INV_01,2020-02-13,-8323.33,0.2473,-1.7860002519586946
INV_01,2020-02-14,-2297.38,0.4317,-0.6806298330171308
INV_01,2020-02-17,-5.57,-0.1584,0.05451409635708923
INV_01,2020-02-18,5601.39,-0.0475,0.6071370322118433
INV_01,2020-02-19,8214.05,-0.0067,0.838477342130148
INV_01,2020-02-20,-6473.96,-0.0057,-1.3484626677628693
